clase,syn
http://purl.obolibrary.org/obo/DOID_1496,equinococosis del hígado
http://purl.obolibrary.org/obo/DOID_1496,enfermedad equinocócica
http://purl.obolibrary.org/obo/DOID_1496,equinococosis hepática
http://purl.obolibrary.org/obo/DOID_1496,enfermedad hidatídica
http://purl.obolibrary.org/obo/DOID_1496,hidatidosis
http://purl.obolibrary.org/obo/DOID_1496,equinococo hepático
http://purl.obolibrary.org/obo/DOID_1496,equinococosis pulmonar
http://purl.obolibrary.org/obo/DOID_409,trastorno del hígado
http://purl.obolibrary.org/obo/DOID_409,trastorno hepático
http://purl.obolibrary.org/obo/DOID_0050242,infección por Naegleria fowleri
http://purl.obolibrary.org/obo/DOID_2789,enfermedad infecciosa por mastigóforos
http://purl.obolibrary.org/obo/DOID_2789,enfermedad infecciosa por sarcomastigóforos
http://purl.obolibrary.org/obo/DOID_0050246,encefalitis por Acanthamoeba
http://purl.obolibrary.org/obo/DOID_0050246,encefalitis granulomatosa por Acanthamoeba
http://purl.obolibrary.org/obo/DOID_0050246,encefalitis amebiana granulomatosa causada por Acanthamoeba
http://purl.obolibrary.org/obo/DOID_0050246,encefalitis amebiana granulomatosa
http://purl.obolibrary.org/obo/DOID_883,infección helmíntica
http://purl.obolibrary.org/obo/DOID_883,helmintiasis
http://purl.obolibrary.org/obo/DOID_883,helmintosis
http://purl.obolibrary.org/obo/DOID_883,infección por gusanos
http://purl.obolibrary.org/obo/DOID_319,mielopatía
http://purl.obolibrary.org/obo/DOID_557,enfermedad por alteración de la función renal
http://purl.obolibrary.org/obo/DOID_557,nefropatía
http://purl.obolibrary.org/obo/DOID_4110,ectoparasitismo
http://purl.obolibrary.org/obo/DOID_11080,infestación por larvas de mosca
http://purl.obolibrary.org/obo/DOID_11080,infestación por gusanos
http://purl.obolibrary.org/obo/DOID_11080,infestación por gusano
http://purl.obolibrary.org/obo/DOID_0050269,Trichomonas urogenital
http://purl.obolibrary.org/obo/DOID_1947,infección por Trichomonas
http://purl.obolibrary.org/obo/DOID_732,enfermedad de la uretra
http://purl.obolibrary.org/obo/DOID_2473,micosis oportunistas
http://purl.obolibrary.org/obo/DOID_2473,micosis sistémicas oportunistas
http://purl.obolibrary.org/obo/DOID_1398,enfermedad ectoparasitaria
http://purl.obolibrary.org/obo/DOID_1398,parasitemia
http://purl.obolibrary.org/obo/DOID_1459,deficiencia tiroidea
http://purl.obolibrary.org/obo/DOID_1459,insuficiencia tiroidea
http://purl.obolibrary.org/obo/DOID_0050331,síndrome de Levy-Hollister 
http://purl.obolibrary.org/obo/DOID_0050331,síndrome lácrimo-auriculo-dento-digital 1
http://purl.obolibrary.org/obo/DOID_0050331,síndrome lácrimoauriculodentodigital
http://purl.obolibrary.org/obo/DOID_0081370,síndrome lácrimo-auriculo-dento-digital (LADD)
http://purl.obolibrary.org/obo/DOID_0081370,síndrome lácrimoauriculodentodigital
http://purl.obolibrary.org/obo/DOID_3426,"vértigo, trastorno vestibular"
http://purl.obolibrary.org/obo/DOID_0050335,supresión prolongada de respuesta electrorretiniana
http://purl.obolibrary.org/obo/DOID_2485,trastorno del fósforo
http://purl.obolibrary.org/obo/DOID_2485,trastorno del metabolismo del fósforo
http://purl.obolibrary.org/obo/DOID_2485,trastorno del metabolismo del fósforo
http://purl.obolibrary.org/obo/DOID_8398,osteoartrosis y trastornos relacionados
http://purl.obolibrary.org/obo/DOID_8398,artritis degenerativa
http://purl.obolibrary.org/obo/DOID_8398,enfermedad articular degenerativa
http://purl.obolibrary.org/obo/DOID_8398,artritis hipertrófica
http://purl.obolibrary.org/obo/DOID_8398,osteoartrosis
http://purl.obolibrary.org/obo/DOID_0050398,enfermedad de Carrión
http://purl.obolibrary.org/obo/DOID_0050398,fiebre de Oroya
http://purl.obolibrary.org/obo/DOID_11102,enfermedad infecciosa por Bartonella
http://purl.obolibrary.org/obo/DOID_11102,infección por Rochalimaea
http://purl.obolibrary.org/obo/DOID_11102,bartoneliasis
http://purl.obolibrary.org/obo/DOID_0050419,deficiencia del inactivador de C3
http://purl.obolibrary.org/obo/DOID_0050419,deficiencia del componente del complemento inactivador de C3
http://purl.obolibrary.org/obo/DOID_626,enfermedad por deficiencia del complemento
http://purl.obolibrary.org/obo/DOID_0050424,poliposis adenomatosa del colon
http://purl.obolibrary.org/obo/DOID_0050425,EWE
http://purl.obolibrary.org/obo/DOID_0050425,enfermedad de Willis-Ekbom
http://purl.obolibrary.org/obo/DOID_0050425,síndrome de Wittmaack-Ekbom
http://purl.obolibrary.org/obo/DOID_0050428,síndrome de Thost-Unna
http://purl.obolibrary.org/obo/DOID_0050428,síndrome de Unna-Thost
http://purl.obolibrary.org/obo/DOID_0050428,queratodermia palmoplantar difusa no epidermolítica
http://purl.obolibrary.org/obo/DOID_0050428,tilosis
http://purl.obolibrary.org/obo/DOID_3390,queratosis palmar y plantar
http://purl.obolibrary.org/obo/DOID_3390,queratodermia palmoplantar
http://purl.obolibrary.org/obo/DOID_3390,queratodermias palmo-plantares
http://purl.obolibrary.org/obo/DOID_0050429,pénfigo crónico benigno
http://purl.obolibrary.org/obo/DOID_0050429,pénfigo benigno familiar
http://purl.obolibrary.org/obo/DOID_0050430,NEM2A
http://purl.obolibrary.org/obo/DOID_0050430,síndrome de Sipple
http://purl.obolibrary.org/obo/DOID_0050430,neoplasia endocrina múltiple tipo II
http://purl.obolibrary.org/obo/DOID_3125,adenomatosis endocrina múltiple
http://purl.obolibrary.org/obo/DOID_3125,síndrome de neoplasia endocrina múltiple
http://purl.obolibrary.org/obo/DOID_0050431,MAVD
http://purl.obolibrary.org/obo/DOID_0050431,miocardiopatía MAVD
http://purl.obolibrary.org/obo/DOID_0050431,DAVD
http://purl.obolibrary.org/obo/DOID_0050431,miocardiopatía arritmogénica del ventrículo derecho
http://purl.obolibrary.org/obo/DOID_0050431,displasia arritmogénica del ventrículo derecho
http://purl.obolibrary.org/obo/DOID_0050431,displasia/miocardiopatía arritmogénica del ventrículo derecho
http://purl.obolibrary.org/obo/DOID_0050431,MCA ventricular derecha
http://purl.obolibrary.org/obo/DOID_649,vía de la enfermedad de los priones
http://purl.obolibrary.org/obo/DOID_649,enfermedad de la proteína priónica
http://purl.obolibrary.org/obo/DOID_649,encefalopatía espongiforme
http://purl.obolibrary.org/obo/DOID_649,trastorno inducido por priones
http://purl.obolibrary.org/obo/DOID_649,encefalopatía espongiforme transmisible
http://purl.obolibrary.org/obo/DOID_0050434,parálisis periódica cardiodisrítmica de Andersen
http://purl.obolibrary.org/obo/DOID_0050434,síndrome de Andersen
http://purl.obolibrary.org/obo/DOID_0050434,QTL7
http://purl.obolibrary.org/obo/DOID_0050434,síndrome de QT largo tipo 7
http://purl.obolibrary.org/obo/DOID_0050434,tipo cardiodisrítmico sensible al potasio
http://purl.obolibrary.org/obo/DOID_2843,QTL
http://purl.obolibrary.org/obo/DOID_2843,síndrome de Q-T largo
http://purl.obolibrary.org/obo/DOID_2843,síndrome de Romano-Ward
