source_id,predicate_id,source_text,source_lang,target_lang,target_text,tsg_set
DOID:0112158,rdfs:label,De Sanctis-Cacchione syndrome,en,es,síndrome de De Sanctis-Cacchione,1
DOID:0112159,rdfs:label,autosomal dominant nonsyndromic deafness 78,en,es,sordera autosómica dominante no sindrómica 78,1
DOID:0112160,rdfs:label,autosomal dominant nonsyndromic deafness 79,en,es,sordera autosómica dominante no sindrómica 79,1
DOID:0112161,rdfs:label,Noonan syndrome 13,en,es,síndrome de Noonan 13,1
DOID:0112162,rdfs:label,autosomal recessive nonsyndromic deafness 116,en,es,sordera autosómica recesiva no sindrómica 116,1
DOID:0112163,rdfs:label,spermatogenic failure 45,en,es,fallo espermatogénico 45,1
DOID:0112164,rdfs:label,spermatogenic failure 46,en,es,fallo espermatogénico 46,1
DOID:0112165,rdfs:label,autosomal dominant nonsyndromic deafness 74,en,es,sordera autosómica dominante no sindrómica 74,1
DOID:0112166,rdfs:label,autosomal dominant nonsyndromic deafness 75,en,es,sordera autosómica dominante no sindrómica 75,1
DOID:0112167,rdfs:label,autosomal dominant nonsyndromic deafness 76,en,es,sordera autosómica dominante no sindrómica 76,1
DOID:0112168,rdfs:label,autosomal dominant nonsyndromic deafness 77,en,es,Sordera autosómica dominante no sindrómica 77,1
DOID:0112169,rdfs:label,Noonan syndrome 11,en,es,síndrome de Noonan 11,1
DOID:0112170,rdfs:label,Noonan syndrome 12,en,es,síndrome de Noonan 12,1
DOID:0112171,rdfs:label,wrinkly skin syndrome,en,es,síndrome de piel arrugada,1
DOID:0112172,rdfs:label,hereditary combined deficiency of vitamin K-dependent clotting factors,en,es,deficiencia combinada hereditaria de los factores de coagulación dependientes de la vitamina K,1
DOID:0112173,rdfs:label,combined deficiency of vitamin K-dependent clotting factors 1,en,es,deficiencia combinada de factores de coagulación dependientes de la vitamina K 1,1
DOID:0112174,rdfs:label,combined deficiency of vitamin K-dependent clotting factors 2,en,es,deficiencia combinada de factores de coagulación dependientes de la vitamina K 2,1
DOID:0112175,rdfs:label,spermatogenic failure 47,en,es,fallo espermatogénico 47,1
DOID:0112176,rdfs:label,spermatogenic failure 48,en,es,fallo espermatogénico 48,1
DOID:0112177,rdfs:label,Mayer-Rokitansky-Kuster-Hauser syndrome,en,es,síndrome de Mayer-Rokitansky-Kuster-Hauser,1
DOID:0112178,rdfs:label,Mayer-Rokitansky-Kuster-Hauser syndrome type 1,en,es,síndrome de Mayer-Rokitansky-Kuster-Hauser tipo 1,1
DOID:0112179,rdfs:label,Mayer-Rokitansky-Kuster-Hauser syndrome type 2,en,es,síndrome de Mayer-Rokitansky-Kuster-Hauser tipo 2,1
DOID:0112180,rdfs:label,urocanase deficiency,en,es,deficiencia de urocanasa,1
DOID:0112181,rdfs:label,Schinzel type phocomelia,en,es,focomelia tipo Schinzel,1
DOID:0112182,rdfs:label,mismatch repair cancer syndrome,en,es,síndrome del cáncer de reparación de emparejamientos erróneos,1
DOID:0112190,rdfs:label,distal arthrogryposis type 1C,en,es,artrogriposis distal tipo 1C,1
DOID:0112191,rdfs:label,tetraamelia syndrome,en,es,síndrome de tetraamelia,1
DOID:0112192,rdfs:label,tetraamelia syndrome 1,en,es,síndrome de tetraamelia 1,1
DOID:0112193,rdfs:label,tetraamelia syndrome 2,en,es,síndrome de tetraamelia 2,1
DOID:0112194,rdfs:label,Filippi syndrome,en,es,síndrome de Filippi,1
DOID:0112195,rdfs:label,spondyloperipheral dysplasia,en,es,displasia espondiloperiférica,1
DOID:0112196,rdfs:label,"spondylometaepiphyseal dysplasia, short limb-hand type",en,es,spondylometaepiphyseal dysplasia,1
DOID:0112197,rdfs:label,spondyloepimetaphyseal dysplasia with joint laxity,en,es,displasia espondiloepimetafisaria con laxitud articular,1
DOID:0112198,rdfs:label,spondyloepimetaphyseal dysplasia with joint laxity type 1,en,es,displasia espondiloepimetafisaria con laxitud articular tipo 1,1
DOID:0112199,rdfs:label,spondyloepimetaphyseal dysplasia with joint laxity type 2,en,es,displasia espondiloepimetafisaria con laxitud articular tipo 2,1
DOID:0112200,rdfs:label,spondyloepimetaphyseal dysplasia with joint laxity type 3,en,es,displasia espondiloepimetafisaria con laxitud articular tipo 3,1
DOID:0112201,rdfs:label,osteogenesis imperfecta type 21,en,es,osteogénesis imperfecta tipo 21,1
DOID:0112202,rdfs:label,developmental and epileptic encephalopathy,en,es,encefalopatía epiléptica y del desarrollo,1
DOID:0112203,rdfs:label,developmental and epileptic encephalopathy 67,en,es,encefalopatía epiléptica y del desarrollo 67,1
DOID:0112204,rdfs:label,developmental and epileptic encephalopathy 68,en,es,encefalopatía epiléptica y del desarrollo 68,1
DOID:0112205,rdfs:label,developmental and epileptic encephalopathy 69,en,es,encefalopatía epiléptica y del desarrollo 69,1
DOID:0112206,rdfs:label,developmental and epileptic encephalopathy 70,en,es,encefalopatía epiléptica y del desarrollo 70,1
