clase, syn,,,,
http://purl.obolibrary.org/obo/DOID_0070278,MCPH7,,,,
http://purl.obolibrary.org/obo/DOID_0070279,MCPH14,,,,
http://purl.obolibrary.org/obo/DOID_0070280,MCPH5,,,,
http://purl.obolibrary.org/obo/DOID_0070281,MCPH19,,,,
http://purl.obolibrary.org/obo/DOID_0070282,MCPH8,,,,
http://purl.obolibrary.org/obo/DOID_0070283,MCPH13,,,,
http://purl.obolibrary.org/obo/DOID_0070284,MCPH12,,,,
http://purl.obolibrary.org/obo/DOID_0070285,MCPH1,,,,
http://purl.obolibrary.org/obo/DOID_0070286,MCPH3,,,,
http://purl.obolibrary.org/obo/DOID_0070287,MCPH11,,,,
http://purl.obolibrary.org/obo/DOID_0070288,MCPH17,,,,
http://purl.obolibrary.org/obo/DOID_0070289,MCPH16,,,,
http://purl.obolibrary.org/obo/DOID_0070290,MCPH6,,,,
http://purl.obolibrary.org/obo/DOID_0070291,MCPH4,,,,
http://purl.obolibrary.org/obo/DOID_0070292,MCPH9,,,,
http://purl.obolibrary.org/obo/DOID_0070293,MCPH2,,,,
http://purl.obolibrary.org/obo/DOID_0070294,MCPH10,,,,
http://purl.obolibrary.org/obo/DOID_0070295,MCPH18,,,,
http://purl.obolibrary.org/obo/DOID_0070297,microcefalia verdadera,,,,
http://purl.obolibrary.org/obo/DOID_0070315,Síndrome del corazón hipoplásico derecho,,,,
http://purl.obolibrary.org/obo/DOID_0080079,trastorno ungueal congénito no sindrómico 10,,,,
http://purl.obolibrary.org/obo/DOID_0080079,distrofia de veinte uñas,,,,
http://purl.obolibrary.org/obo/DOID_0080082,HIPONIQUIA CONGÉNITA,,,,
http://purl.obolibrary.org/obo/DOID_0080082,anoniquia congénita,,,,
http://purl.obolibrary.org/obo/DOID_0080086,distrofia aislada de las uñas de los pies,,,,
http://purl.obolibrary.org/obo/DOID_0080101,miopatía congénita 12,,,,
http://purl.obolibrary.org/obo/DOID_0080102,CFTD,,,,
http://purl.obolibrary.org/obo/DOID_0080102,desproporción congénita tipo fibra,,,,
http://purl.obolibrary.org/obo/DOID_0080139,encefalopatía del desarrollo y epiléptica 20,,,,
http://purl.obolibrary.org/obo/DOID_0080139,encefalopatía epiléptica infantil precoz 20,,,,
http://purl.obolibrary.org/obo/DOID_0080139,defecto de biosíntesis del glicosilfosfatidilinositol 4,,,,
http://purl.obolibrary.org/obo/DOID_0080140,síndrome M,,,,
http://purl.obolibrary.org/obo/DOID_0080140,síndrome convulsivo de fijación a la luz,,,,
http://purl.obolibrary.org/obo/DOID_0080173,complejo extrofia-epispadias,,,,
http://purl.obolibrary.org/obo/DOID_0080180,infección congénita por ZIKV,,,,
http://purl.obolibrary.org/obo/DOID_0080313,síndrome CPLS,,,,
http://purl.obolibrary.org/obo/DOID_0080313,singnatia,,,,
http://purl.obolibrary.org/obo/DOID_0080395,labio leporino no sindrómico con o sin paladar hendido 1,,,,
http://purl.obolibrary.org/obo/DOID_0080396,labio leporino no sindrómico con o sin paladar hendido 2,,,,
http://purl.obolibrary.org/obo/DOID_0080397,labio leporino no sindrómico con o sin paladar hendido 3,,,,
http://purl.obolibrary.org/obo/DOID_0080398,labio leporino no sindrómico con o sin paladar hendido 4,,,,
http://purl.obolibrary.org/obo/DOID_0080399,labio leporino no sindrómico con o sin paladar hendido 5,,,,
http://purl.obolibrary.org/obo/DOID_0080400,síndrome de Zlotogora-Ogur,,,,
http://purl.obolibrary.org/obo/DOID_0080402,labio leporino no sindrómico con o sin paladar hendido 9,,,,
http://purl.obolibrary.org/obo/DOID_0080403,labio leporino no sindrómico con o sin paladar hendido 10,,,,
http://purl.obolibrary.org/obo/DOID_0080404,labio leporino no sindrómico con o sin paladar hendido 11,,,,
http://purl.obolibrary.org/obo/DOID_0080405,labio leporino no sindrómico con o sin paladar hendido 12,,,,
http://purl.obolibrary.org/obo/DOID_0080552,PMM2-trastorno congénito de la glicosilación,,,,
http://purl.obolibrary.org/obo/DOID_0080552,trastorno congénito de la glicosilación 1a,,,,
http://purl.obolibrary.org/obo/DOID_0080553,trastorno congénito de la glicosilación 1aa,,,,
http://purl.obolibrary.org/obo/DOID_0080554,trastorno congénito de la glicosilación 1b,,,,
http://purl.obolibrary.org/obo/DOID_0080555,trastorno congénito de la glicosilación 1c,,,,
